last_update,location_type,state,county_name,county_name_long,fips_code,lat,lon,NCHS_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000
2022-06-18 16:21:13 UTC,county,Alabama,Autauga,"Autauga, Alabama, US",01001,32.53952745,-86.64408227,Medium metro,55200.0,16211,29367.75,217,393.12
2022-06-18 16:21:13 UTC,county,Alabama,Baldwin,"Baldwin, Alabama, US",01003,30.72774991,-87.72207058,Small metro,208107.0,57726,27738.62,683,328.2
2022-06-18 16:21:13 UTC,county,Alabama,Barbour,"Barbour, Alabama, US",01005,31.868263,-85.3871286,Non-core,25782.0,5782,22426.5,99,383.99
2022-06-18 16:21:13 UTC,county,Alabama,Bibb,"Bibb, Alabama, US",01007,32.99642064,-87.1251146,Large fringe metro,22527.0,6611,29347.01,105,466.11
2022-06-18 16:21:13 UTC,county,Alabama,Blount,"Blount, Alabama, US",01009,33.98210918,-86.56790593,Large fringe metro,57645.0,15207,26380.43,245,425.02
2022-06-18 16:21:13 UTC,county,Alabama,Bullock,"Bullock, Alabama, US",01011,32.10030533,-85.71265535,Non-core,10352.0,2380,22990.73,54,521.64
2022-06-18 16:21:13 UTC,county,Alabama,Butler,"Butler, Alabama, US",01013,31.75300095,-86.68057478,Non-core,20025.0,5166,25797.75,129,644.19
2022-06-18 16:21:13 UTC,county,Alabama,Calhoun,"Calhoun, Alabama, US",01015,33.77483727,-85.82630386,Small metro,115098.0,32843,28534.81,628,545.62
2022-06-18 16:21:13 UTC,county,Alabama,Chambers,"Chambers, Alabama, US",01017,32.91360079,-85.39072749,Micropolitan,33826.0,8637,25533.61,162,478.92
2022-06-18 16:21:13 UTC,county,Alabama,Cherokee,"Cherokee, Alabama, US",01019,34.17805983,-85.60638968,Non-core,25853.0,5201,20117.59,86,332.65
2022-06-18 16:21:13 UTC,county,Alabama,Chilton,"Chilton, Alabama, US",01021,32.85044126,-86.7173256,Large fringe metro,43930.0,11236,25577.05,208,473.48
2022-06-18 16:21:13 UTC,county,Alabama,Choctaw,"Choctaw, Alabama, US",01023,32.02227341,-88.2656443,Non-core,13075.0,2083,15931.17,37,282.98
2022-06-18 16:21:13 UTC,county,Alabama,Clarke,"Clarke, Alabama, US",01025,31.68099859,-87.83548597,Non-core,24387.0,7231,29651.04,101,414.16
2022-06-18 16:21:13 UTC,county,Alabama,Clay,"Clay, Alabama, US",01027,33.26984193,-85.85836077,Non-core,13378.0,4174,31200.48,82,612.95
2022-06-18 16:21:13 UTC,county,Alabama,Cleburne,"Cleburne, Alabama, US",01029,33.67679204,-85.52005899,Non-core,14938.0,3586,24005.89,69,461.91
2022-06-18 16:21:13 UTC,county,Alabama,Coffee,"Coffee, Alabama, US",01031,31.39932826,-85.98901039,Micropolitan,51288.0,13989,27275.39,232,452.35
2022-06-18 16:21:13 UTC,county,Alabama,Colbert,"Colbert, Alabama, US",01033,34.69847452,-87.80168544,Small metro,54495.0,16676,30600.97,262,480.78
2022-06-18 16:21:13 UTC,county,Alabama,Conecuh,"Conecuh, Alabama, US",01035,31.43401703,-86.99320044,Non-core,12514.0,2926,23381.81,70,559.37
2022-06-18 16:21:13 UTC,county,Alabama,Coosa,"Coosa, Alabama, US",01037,32.93690146,-86.24847739,Micropolitan,10855.0,3021,27830.49,58,534.32
2022-06-18 16:21:13 UTC,county,Alabama,Covington,"Covington, Alabama, US",01039,31.2477854,-86.45050893,Non-core,37351.0,9488,25402.26,233,623.81
2022-06-18 16:21:13 UTC,county,Alabama,Crenshaw,"Crenshaw, Alabama, US",01041,31.72941803,-86.31593104,Non-core,13865.0,3899,28121.17,100,721.24
2022-06-18 16:21:13 UTC,county,Alabama,Cullman,"Cullman, Alabama, US",01043,34.13020303,-86.86888037,Micropolitan,82313.0,25084,30473.92,367,445.86
2022-06-18 16:21:13 UTC,county,Alabama,Dale,"Dale, Alabama, US",01045,31.43037123,-85.61095742,Micropolitan,49255.0,13239,26878.49,231,468.99
2022-06-18 16:21:13 UTC,county,Alabama,Dallas,"Dallas, Alabama, US",01047,32.32688101,-87.1086671,Micropolitan,40029.0,8587,21451.95,244,609.56
2022-06-18 16:21:13 UTC,county,Alabama,DeKalb,"DeKalb, Alabama, US",01049,34.45946862,-85.80782906,Non-core,71200.0,18981,26658.71,331,464.89
2022-06-18 16:21:13 UTC,county,Alabama,Elmore,"Elmore, Alabama, US",01051,32.59785413,-86.14415284,Medium metro,81212.0,23947,29487.02,347,427.28
2022-06-18 16:21:13 UTC,county,Alabama,Escambia,"Escambia, Alabama, US",01053,31.1256789,-87.15918694,Non-core,37328.0,10288,27561.08,172,460.78
2022-06-18 16:21:13 UTC,county,Alabama,Etowah,"Etowah, Alabama, US",01055,34.04567266,-86.04051873,Small metro,102939.0,29024,28195.34,652,633.38
2022-06-18 16:21:13 UTC,county,Alabama,Fayette,"Fayette, Alabama, US",01057,33.72076938,-87.73886638,Non-core,16585.0,5035,30358.76,96,578.84
2022-06-18 16:21:13 UTC,county,Alabama,Franklin,"Franklin, Alabama, US",01059,34.44235334,-87.84289505,Non-core,31542.0,9992,31678.4,139,440.68
2022-06-18 16:21:13 UTC,county,Alabama,Geneva,"Geneva, Alabama, US",01061,31.09389027,-85.83572839,Small metro,26491.0,6606,24936.77,164,619.08
2022-06-18 16:21:13 UTC,county,Alabama,Greene,"Greene, Alabama, US",01063,32.85504247,-87.95684022,Non-core,8426.0,1910,22667.93,50,593.4
2022-06-18 16:21:13 UTC,county,Alabama,Hale,"Hale, Alabama, US",01065,32.76039258,-87.63284988,Small metro,14887.0,4852,32592.19,106,712.03
2022-06-18 16:21:13 UTC,county,Alabama,Henry,"Henry, Alabama, US",01067,31.51148016,-85.24267944,Small metro,17124.0,4696,27423.5,76,443.82
2022-06-18 16:21:13 UTC,county,Alabama,Houston,"Houston, Alabama, US",01069,31.15197924,-85.29939599,Small metro,104352.0,26462,25358.4,508,486.81
2022-06-18 16:21:13 UTC,county,Alabama,Jackson,"Jackson, Alabama, US",01071,34.78144169,-85.99750489,Micropolitan,52094.0,15260,29293.2,241,462.63
2022-06-18 16:21:13 UTC,county,Alabama,Jefferson,"Jefferson, Alabama, US",01073,33.55554728,-86.895063,Large central metro,659892.0,191910,29082.03,2383,361.12
2022-06-18 16:21:13 UTC,county,Alabama,Lamar,"Lamar, Alabama, US",01075,33.77995024,-88.09668032,Non-core,13933.0,3802,27287.73,65,466.52
2022-06-18 16:21:13 UTC,county,Alabama,Lauderdale,"Lauderdale, Alabama, US",01077,34.90171875,-87.65624729,Small metro,92585.0,24700,26678.19,397,428.8
2022-06-18 16:21:13 UTC,county,Alabama,Lawrence,"Lawrence, Alabama, US",01079,34.52041498,-87.31069453,Small metro,33171.0,7785,23469.3,160,482.35
2022-06-18 16:21:13 UTC,county,Alabama,Lee,"Lee, Alabama, US",01081,32.60154883,-85.35132246,Small metro,159287.0,38778,24344.74,342,214.71
2022-06-18 16:21:13 UTC,county,Alabama,Limestone,"Limestone, Alabama, US",01083,34.81185586,-86.98310072,Medium metro,93052.0,25744,27666.25,295,317.03
2022-06-18 16:21:13 UTC,county,Alabama,Lowndes,"Lowndes, Alabama, US",01085,32.1597283,-86.65158371,Medium metro,10236.0,2684,26221.18,77,752.25
2022-06-18 16:21:13 UTC,county,Alabama,Macon,"Macon, Alabama, US",01087,32.38759944,-85.69267724,Non-core,19054.0,4007,21029.71,85,446.1
2022-06-18 16:21:13 UTC,county,Alabama,Madison,"Madison, Alabama, US",01089,34.76327133,-86.55069633,Medium metro,357560.0,93598,26176.87,974,272.4
2022-06-18 16:21:13 UTC,county,Alabama,Marengo,"Marengo, Alabama, US",01091,32.24767634,-87.78796182,Non-core,19538.0,5294,27095.92,108,552.77
2022-06-18 16:21:13 UTC,county,Alabama,Marion,"Marion, Alabama, US",01093,34.13697363,-87.88704173,Non-core,29965.0,8356,27885.87,152,507.26
2022-06-18 16:21:13 UTC,county,Alabama,Marshall,"Marshall, Alabama, US",01095,34.36975964,-86.30486727,Micropolitan,95145.0,27769,29185.98,395,415.16
